z_km,T_K,p_Pa,rho_air_kg_m3,n_air_molec_m3,O3_vmr_ppmv,n_O3_molec_m3,u_O3_molec_m2,delta_tau_SW_vert,delta_tau_SW_sun(mu0=0.6),delta_tau_LW
14,216.65,14102.276624727689,0.22675709648849812,4.714626069787289e+24,4.408595413117675,2.0784878865829253e+19,2.078487886582925e+22,20.78487886582925,34.64146477638209,0.06235463659748775
15,216.65,12045.010871625691,0.1936773589898983,4.026847847152789e+24,4.892245277701067,1.970032736425394e+19,1.9700327364253943e+22,19.70032736425394,32.83387894042323,0.05910098209276183
16,216.65,10287.862786862801,0.16542335373924946,3.439403962073e+24,5.375814486867795,1.8489597645502525e+19,1.8489597645502525e+22,18.489597645502524,30.815996075837543,0.055468792936507576
17,216.65,8787.050659343357,0.14129109414264648,2.937657458969447e+24,5.8491922965895276,1.7182923379022856e+19,1.7182923379022856e+22,17.182923379022856,28.63820563170476,0.051548770137068566
18,216.65,7505.179733585052,0.12067929245040807,2.5091066479546213e+24,6.301636305934945,1.5811477548213572e+19,1.5811477548213572e+22,15.81147754821357,26.35246258035595,0.047434432644640714
19,216.65,6410.310469022044,0.1030743778629665,2.143073608390893e+24,6.722161691290176,1.4406087311940264e+19,1.4406087311940263e+22,14.406087311940261,24.010145519900437,0.04321826193582079
20,216.65,5475.162723334927,0.08803770022270854,1.8304381341165802e+24,7.099975220676763,1.2996065395209527e+19,1.2996065395209528e+22,12.996065395209527,21.66010899201588,0.038988196185628585
21,217.65,4678.132959667951,0.07487627676304083,1.5567920559149798e+24,7.424930771093086,1.1559073240156402e+19,1.1559073240156402e+22,11.559073240156401,19.265122066927336,0.03467721972046921
22,218.65,4000.0119746754735,0.06372974213141194,1.3250385911905363e+24,7.6879798546648,1.018686999572627e+19,1.018686999572627e+22,10.18686999572627,16.978116659543783,0.03056060998717881
23,219.65,3422.6332431113365,0.054282458379247424,1.1286151453254497e+24,7.881589386454043,8.895281150788352e+18,8.895281150788352e+21,8.895281150788351,14.825468584647252,0.026685843452365056
24,220.65,2930.6702779614084,0.04626934797549079,9.620103519378652e+23,8.000099833541459,7.696178856403275e+18,7.696178856403275e+21,7.696178856403274,12.826964760672125,0.023088536569209825
25,221.65,2511.182621659318,0.0394676177198667,8.205920004092159e+23,8.04,6.597559683290096e+18,6.597559683290095e+21,6.597559683290095,10.995932805483493,0.019792679049870286
26,222.65,2153.2360027565405,0.033689866085420475,7.004637270173489e+23,8.000099833541459,5.603779745913322e+18,5.603779745913322e+21,5.603779745913322,9.339632909855537,0.016811339237739968
27,223.65,1847.5842854465427,0.028778337972445837,5.983455625033754e+23,7.881589386454043,4.715914034858478e+18,4.715914034858478e+21,4.715914034858478,7.859856724764129,0.014147742104575433
28,224.65,1586.4029459364272,0.024600131927392466,5.1147428283892336e+23,7.6879798546648,3.932203982644769e+18,3.9322039826447687e+21,3.932203982644768,6.553673304407947,0.011796611947934306
29,225.65,1363.0655503946218,0.021043198665521595,4.3752021240584846e+23,7.424930771093086,3.2485572880673674e+18,3.2485572880673674e+21,3.248557288067367,5.414262146778945,0.009745671864202101
30,226.65,1171.9561488573333,0.01801299755206247,3.7451770713723174e+23,7.099975220676763,2.659066440379022e+18,2.6590664403790217e+21,2.6590664403790214,4.431777400631702,0.007977199321137066
31,227.65,1008.31169114126,0.015429700618060005,3.2080702174014916e+23,6.722161691290176,2.1565166718385252e+18,2.156516671838525e+21,2.1565166718385247,3.594194453064208,0.006469550015515575
32,228.65,868.0895580343587,0.01322585259154919,2.7498565817297113e+23,6.301636305934945,1.7328596071542113e+18,1.7328596071542114e+21,1.7328596071542113,2.888099345257019,0.005198578821462635
