Wavelength(nm),I[w/(m^2*lambda)]
1109.0,0.5964298726199262
1110.0,0.5970289379310345
1111.0,0.5937741738888889
1112.0,0.5865245076885044
1113.0,0.5855339346592318
1114.0,0.5923913731761786
1115.0,0.5844094703358209
1116.0,0.5864384497011208
1117.0,0.5899915390137329
1118.0,0.5859631326
1119.0,0.5728827671214017
1120.0,0.5767618144291092
1121.0,0.581044405138191
1122.0,0.5814817743198992
1123.0,0.5792149874148803
1124.0,0.5777398246338383
1125.0,0.5714227698227848
1126.0,0.5627541751584284
1127.0,0.5779214913977129
1128.0,0.5734044857124683
1129.0,0.5646475025987261
1130.0,0.566192557037037
1131.0,0.5662622675544173
1132.0,0.569296013546735
1133.0,0.5636280082156612
1134.0,0.5663717917117117
1135.0,0.5666983677863577
1136.0,0.559795551716129
1137.0,0.5652367377231565
1138.0,0.5491176081088083
1139.0,0.5541639505706875
1140.0,0.5589723329220779
1141.0,0.53750136734375
1142.0,0.5539190680678852
1143.0,0.5527785556657964
1144.0,0.5521014792015706
1145.0,0.5535419599213631
1146.0,0.5558519809855453
1147.0,0.551550594631579
1148.0,0.5515162991304348
1149.0,0.5444644810422163
1150.0,0.5515411050925926
1151.0,0.5433525108476821
1152.0,0.5484762523107569
1153.0,0.5463499839095746
1154.0,0.5455311573235686
1155.0,0.5468991068933333
1156.0,0.5455838475802139
1157.0,0.5448198904953147
1158.0,0.5404829920911528
1159.0,0.5326011605376344
1160.0,0.5272976068371468
1161.0,0.5129067168463611
1162.0,0.5351424632793522
1163.0,0.531918611014885
1164.0,0.5246307127642277
1165.0,0.5345095565943012
1166.0,0.5210886570788044
1167.0,0.5286426280245232
1168.0,0.5307964561527967
1169.0,0.5188582089071039
1170.0,0.5256235823972603
1171.0,0.531692073890411
1172.0,0.5292841721703297
1173.0,0.5283555541735538
1174.0,0.5273840062534436
1175.0,0.5206147128176796
1176.0,0.5070958709958506
1177.0,0.5217239324376731
1178.0,0.5139819581414702
1179.0,0.5144143552294854
1180.0,0.5174656087604457
1181.0,0.5205710566945606
1182.0,0.5196894477234637
1183.0,0.472637220013986
1184.0,0.5011888504768583
1185.0,0.5142325831039326
1186.0,0.5162854640506329
1187.0,0.5114582651830986
1188.0,0.5103035559463277
1189.0,0.4908442838700564
1190.0,0.5013775683002832
1191.0,0.5111134892907802
1192.0,0.5107529258806818
1193.0,0.5078535223076923
1194.0,0.5082887089601139
1195.0,0.5005687261571429
1196.0,0.5055777995851216
1197.0,0.5055733443123209
1198.0,0.48960013677187947
1199.0,0.45727869212949634
1200.0,0.49519662454676255
1201.0,0.4984509908225108
1202.0,0.5013541034971098
1203.0,0.4751559500868307
1204.0,0.4814662745217391
1205.0,0.4977402464876633
1206.0,0.49520988164483265
1207.0,0.49645971515283843
1208.0,0.4930440550948906
1209.0,0.4654127730847953
1210.0,0.4920751286822841
1211.0,0.4669775985630499
1212.0,0.4896809247577093
1213.0,0.49006833544919004
1214.0,0.4847985333726068
1215.0,0.48892402791728207
1216.0,0.48803974110782855
1217.0,0.4856315245481482
1218.0,0.4813103039317507
1219.0,0.4806657577711739
1220.0,0.4817755347767858
1221.0,0.4829620302835821
1222.0,0.47989059426865677
1223.0,0.4769934190582959
1224.0,0.4802937952773613
1225.0,0.4782037884557721
1226.0,0.47845781180451125
1227.0,0.46004790567771076
1228.0,0.4749529595475114
1229.0,0.47319480575528694
1230.0,0.4714384719969743
1231.0,0.47404527984848494
1232.0,0.4708361913050076
1233.0,0.472372260212766
1234.0,0.46898721365853663
1235.0,0.4678496902439025
1236.0,0.4685286741679389
1237.0,0.46855878736600304
1238.0,0.46827839174578867
1239.0,0.4633090101996928
1240.0,0.460210547
1241.0,0.4642400191846153
1242.0,0.46190004015432107
1243.0,0.4581460199381763
1244.0,0.4507691078637771
1245.0,0.4613850086068111
1246.0,0.4579179494254658
1247.0,0.4602093147278382
1248.0,0.4581141606230529
1249.0,0.4577447607488299
1250.0,0.4572373815312501
1251.0,0.4568787854616589
1252.0,0.45646930592476487
1253.0,0.45017323018838296
1254.0,0.45468647775157234
1255.0,0.45209642414173234
1256.0,0.4508206654186414
1257.0,0.4474224256556082
1258.0,0.45021814537974686
1259.0,0.44428822893819336
1260.0,0.4482692745238096
1261.0,0.4485177289666136
1262.0,0.4396729364171974
1263.0,0.4437406188995216
1264.0,0.44043861456869005
1265.0,0.4423144477884615
1266.0,0.4445674745512821
1267.0,0.4441058781219904
1268.0,0.43605231496784563
1269.0,0.4418485667149758
1270.0,0.4427466721451613
1271.0,0.4425188813570275
1272.0,0.441379723527508
1273.0,0.4404056030632091
1274.0,0.43703407288492707
1275.0,0.4373905017886178
1276.0,0.4372892940716612
1277.0,0.43547223055464923
1278.0,0.43403163433006536
1279.0,0.4303795390849673
1280.0,0.42695200103278685
1281.0,0.4153792061740558
1282.0,0.36777248311986865
1283.0,0.40699244685337727
1284.0,0.4206026599011532
1285.0,0.4250842611221122
1286.0,0.42761897973509927
1287.0,0.4271185412417218
1288.0,0.42451288580431173
1289.0,0.4270407941528239
1290.0,0.4164966500332779
1291.0,0.4250041842833333
1292.0,0.4253971683472454
1293.0,0.4256495111705686
1294.0,0.42189999293132324
1295.0,0.424058366057047
1296.0,0.4239680384395973
1297.0,0.42259973292929287
1298.0,0.416829153989899
1299.0,0.4216248215709459
1300.0,0.4204933154898649
1301.0,0.41838019700507617
1302.0,0.4190239044915254
1303.0,0.41246700587436336
1304.0,0.41491189522108846
1305.0,0.4158385236797274
1306.0,0.4152447683447099
1307.0,0.4147330767406143
1308.0,0.41433935198630134
1309.0,0.4131113425171233
1310.0,0.4123466164089347
1311.0,0.405846333298969
1312.0,0.41161898958691906
1313.0,0.3921999758448275
1314.0,0.4075894688601036
1315.0,0.3929379174611399
1316.0,0.4049670988388215
1317.0,0.40650577308492203
1318.0,0.3948516918260869
1319.0,0.40686304217391306
1320.0,0.40427133087108014
1321.0,0.40496956692844677
1322.0,0.4033137650174825
1323.0,0.40331829784965034
1324.0,0.40306690954385965
1325.0,0.40122871052631576
1326.0,0.3998604170598592
1327.0,0.4003462211619718
1328.0,0.3996356776719576
1329.0,0.3848709767724868
1330.0,0.3931146986902655
1331.0,0.39276963959219857
1332.0,0.3895501281914894
1333.0,0.38939581841918297
1334.0,0.3958471092348754
1335.0,0.3948882160962567
1336.0,0.3901305765714286
1337.0,0.39368014191413236
1338.0,0.39287042016100177
1339.0,0.38878539465949824
1340.0,0.38608188310592456
1341.0,0.3908070165467626
1342.0,0.3879161248288288
1343.0,0.38811613754512636
1344.0,0.3848090918772563
1345.0,0.38765896066907773
1346.0,0.3868173854710145
1347.0,0.386552014446461
1348.0,0.3858502346
1349.0,0.38465059872727275
1350.0,0.3803160548269581
1351.0,0.3762662791773309
1352.0,0.38306527564899456
1353.0,0.38196291553930534
1354.0,0.38168697198165136
1355.0,0.38100219541284397
1356.0,0.37952272882352944
1357.0,0.37253236685082874
1358.0,0.3789643514022141
1359.0,0.3782914094824399
1360.0,0.3764435526802218
1361.0,0.37695345964814814
1362.0,0.3762892784230055
1363.0,0.36820631007434945
1364.0,0.37496890665427507
1365.0,0.3743151982867784
1366.0,0.37313015831775703
1367.0,0.3692200961567164
1368.0,0.37237032580524343
1369.0,0.3717289223076923
1370.0,0.36699037273921203
1371.0,0.36859097266917296
1372.0,0.3656214262218045
1373.0,0.367125596735849
1374.0,0.3685615988301887
1375.0,0.366197650510397
1376.0,0.3669657459280303
1377.0,0.36668545356736243
1378.0,0.3636922824098672
1379.0,0.36456617665399244
1380.0,0.36460415996190476
1381.0,0.3642571704007634
1382.0,0.36365187690839695
1383.0,0.36304859221797325
1384.0,0.3624478102107279
1385.0,0.3613191706333973
1386.0,0.36125343475
1387.0,0.35539313423076924
1388.0,0.3590718886319846
1389.0,0.3575898732947977
1390.0,0.35408705936170215
1391.0,0.35790419982591876
1392.0,0.3577135981395349
1393.0,0.35712990481553397
1394.0,0.3550825054368932
1395.0,0.35596501552529186
1396.0,0.35446121405458086
1397.0,0.3516936797265625
1398.0,0.35312178126953125
1399.0,0.35365897461839524
1400.0,0.3505904595882353
1401.0,0.34708897013725487
1402.0,0.3514641584282908
1403.0,0.34954473889763776
1404.0,0.34929742270216957
1405.0,0.35024420990118577
1406.0,0.3466859936956522
1407.0,0.34906052087128714
1408.0,0.34351236869306934
1409.0,0.34658702037698413
1410.0,0.34578806906560633
1411.0,0.3463551098007968
1412.0,0.3405960659680639
1413.0,0.3381503790618762
1414.0,0.34502855328
1415.0,0.34469026582000006
1416.0,0.3436121176152305
1417.0,0.340362847811245
1418.0,0.3425794042052314
1419.0,0.3413468142857143
1420.0,0.34138044461693556
1421.0,0.3385386883838384
1422.0,0.3393344382591093
1423.0,0.3310339770040486
1424.0,0.33372906683569975
1425.0,0.3376386333671399
1426.0,0.3340842627235772
1427.0,0.33774367421588597
1428.0,0.33663780951020406
1429.0,0.3280428635510204
1430.0,0.3276139482822086
1431.0,0.33451980170081963
1432.0,0.3345887672336066
1433.0,0.33427972336755646
1434.0,0.330734439691358
1435.0,0.33351895135802473
1436.0,0.32942031232989694
1437.0,0.3303481129752066
1438.0,0.3322937648240165
1439.0,0.3316215568530021
1440.0,0.3115821361283644
1441.0,0.32307910424116426
1442.0,0.32207530471933477
1443.0,0.32417282825
1444.0,0.3255976021875
1445.0,0.31963067100208764
1446.0,0.32550726698744775
1447.0,0.32463147562761513
1448.0,0.32293271092243186
1449.0,0.3244276015336134
1450.0,0.3223695900210084
1451.0,0.32518343197894745
1452.0,0.31230354685654005
1453.0,0.3209380089029536
1454.0,0.3232479662579281
1455.0,0.3088322016525424
1456.0,0.31145773898305085
1457.0,0.315153448895966
1458.0,0.32112674595744684
1459.0,0.32004836623404254
1460.0,0.3165415592110874
1461.0,0.3181354730982906
1462.0,0.31463852598290604
1463.0,0.31895380822649577
1464.0,0.3150190210300429
1465.0,0.3165161680686695
1466.0,0.30700632286021506
1467.0,0.3167672893978494
1468.0,0.3136573279956896
1469.0,0.31434547781857447
1470.0,0.3121606672354212
1471.0,0.3106457661904762
1472.0,0.3133941373593074
1473.0,0.3115096067462039
1474.0,0.3096845383695652
1475.0,0.30662010163043474
1476.0,0.31159891732026146
1477.0,0.3078417185807861
1478.0,0.3055081579257642
1479.0,0.3072900052954048
1480.0,0.31040311728665204
1481.0,0.30723568685714286
1482.0,0.30792656787280703
1483.0,0.29997534577092505
1484.0,0.30326850087912083
1485.0,0.3061668190286976
1486.0,0.3047231487637969
1487.0,0.2994020375663717
1488.0,0.2568050425
1489.0,0.29819523403547676
1490.0,0.30121063146666666
1491.0,0.3012692926666667
1492.0,0.3028958056347439
1493.0,0.3036116704454343
1494.0,0.29866467495535715
1495.0,0.3001186168008949
1496.0,0.29305217152125274
1497.0,0.2997800961210763
1498.0,0.29912665890134527
1499.0,0.2958606880674158
1500.0,0.30033972655405405
1501.0,0.2986247129054054
1502.0,0.2913646258558558
1503.0,0.2555416955656109
1504.0,0.27013383212669684
1505.0,0.26522622610859725
1506.0,0.287046407324263
1507.0,0.2958657658409091
1508.0,0.29264354963636363
1509.0,0.2950422662870159
1510.0,0.2868555049430524
1511.0,0.29437064844748856
1512.0,0.2914716262471396
1513.0,0.2902639637299771
1514.0,0.28805001399082564
1515.0,0.28976543220183487
1516.0,0.28566171422988507
1517.0,0.2867013399078341
1518.0,0.2868942453686636
1519.0,0.28918263778801845
1520.0,0.2875882815704388
1521.0,0.28031372550925926
1522.0,0.2787003069212963
1523.0,0.28425371136890953
1524.0,0.28371520172093023
1525.0,0.280025009255814
1526.0,0.28538548876744185
1527.0,0.2827214451048951
1528.0,0.2852944562616822
1529.0,0.2825276496962617
1530.0,0.26690057222482433
1531.0,0.28163102032863846
1532.0,0.2828457101877934
1533.0,0.28152493551643193
1534.0,0.2758158088235294
1535.0,0.2776777656839623
1536.0,0.28036418483490566
1537.0,0.280286573144208
1538.0,0.2743249360756501
1539.0,0.27617571888625597
1540.0,0.2686818466113744
1541.0,0.2758923895486936
1542.0,0.2783031088836105
1543.0,0.27408556492857145
1544.0,0.2773015793078759
1545.0,0.27736015983293555
1546.0,0.27320951274463007
1547.0,0.27433451633093525
1548.0,0.2702886307894737
1549.0,0.27449992431654674
1550.0,0.2697206763461538
1551.0,0.2688985448915663
1552.0,0.27127258266826926
1553.0,0.27283250956521743
1554.0,0.2635247460628019
1555.0,0.2679735024637681
1556.0,0.26004238663438256
1557.0,0.26893466118932036
1558.0,0.27046535376213593
1559.0,0.2661047690048544
1560.0,0.2621424599270073
1561.0,0.26421335685365854
1562.0,0.26493433148780493
1563.0,0.2606971372371638
1564.0,0.2594639096821516
1565.0,0.2642181511764706
1566.0,0.26590569485294113
1567.0,0.25981556803439804
1568.0,0.25750556503685507
1569.0,0.25767379731527096
1570.0,0.25336611421182265
1571.0,0.2654811288888889
1572.0,0.2652031314320988
1573.0,0.25735897056930696
1574.0,0.25749890995049507
1575.0,0.2333782070223325
1576.0,0.26001933343283584
1577.0,0.22101100317617867
1578.0,0.256173144563591
1579.0,0.2565127203491272
1580.0,0.25709070426433916
1581.0,0.258909609825
1582.0,0.24880869967418548
1583.0,0.25207447115000003
1584.0,0.2429013273366834
1585.0,0.260026440201005
1586.0,0.25506770477386936
1587.0,0.24965004347607053
1588.0,0.24896243351010106
1589.0,0.22378415916666666
1590.0,0.2328993536111111
1591.0,0.24411944265822788
1592.0,0.2472986031898734
1593.0,0.2515189438071066
1594.0,0.2529162320101781
1595.0,0.25171922949109415
1596.0,0.2353602527226463
1597.0,0.24057571719387758
1598.0,0.24882249602040818
1599.0,0.24800520636828646
1600.0,0.25141521828205127
1601.0,0.23506795605128206
1602.0,0.2482144632307692
1603.0,0.24715008136246785
1604.0,0.2446273162467866
1605.0,0.24265568407216495
1606.0,0.24253001430412371
1607.0,0.24738505472868216
1608.0,0.2398822935400517
1609.0,0.2432530715803109
1610.0,0.23219759707253887
1611.0,0.2381256585714286
1612.0,0.2390763224675325
1613.0,0.23621879950520838
1614.0,0.2417094921875
1615.0,0.244464518046875
1616.0,0.2336691517232376
1617.0,0.23167134311518328
1618.0,0.23529831500000004
1619.0,0.23599276435695538
1620.0,0.23081106410994762
1621.0,0.23215485436842107
1622.0,0.2316370156842105
1623.0,0.23871308765789478
1624.0,0.2340909286807388
1625.0,0.2317576996042216
1626.0,0.2379930610846561
1627.0,0.23955787783068785
1628.0,0.23719274427055703
1629.0,0.23520053206896555
1630.0,0.23487596045212766
1631.0,0.23596893609042552
1632.0,0.22473081127659575
1633.0,0.23244859738666665
1634.0,0.23174219796791445
1635.0,0.23252571804812833
1636.0,0.2319826053475936
1637.0,0.22133289356568364
1638.0,0.22412173434316354
1639.0,0.21556197456989248
1640.0,0.21857208250000001
1641.0,0.21798775622641506
1642.0,0.22192714668463617
1643.0,0.2254996458918919
1644.0,0.22192588629729726
1645.0,0.219329237972973
1646.0,0.22686149850948512
1647.0,0.22437008677506776
1648.0,0.22368357885869566
1649.0,0.21730750763586956
1650.0,0.22562214005449588
1651.0,0.22466368337874654
1652.0,0.22048475571038254
1653.0,0.2174920981967213
1654.0,0.2200747398360656
1655.0,0.21956880191780823
1656.0,0.21961656361643836
1657.0,0.2200114408241758
1658.0,0.22407680942307692
1659.0,0.2211652635812672
1660.0,0.22271392942148763
1661.0,0.2217110508287293
1662.0,0.21991868751381216
1663.0,0.2202175235911602
1664.0,0.2192746229362881
1665.0,0.21674037119113576
1666.0,0.21427426919444445
1667.0,0.21441399525
1668.0,0.21537180362116992
1669.0,0.20982799512534817
1670.0,0.21721239
1671.0,0.21662113259776536
1672.0,0.2082431747206704
1673.0,0.21082405683473388
1674.0,0.21516929621848738
1675.0,0.2103364556179775
1676.0,0.2018819611516854
1677.0,0.20807291342696627
1678.0,0.21108785549295775
1679.0,0.2083815212112676
1680.0,0.20427396615819204
1681.0,0.20355319025423727
1682.0,0.20210988660056656
1683.0,0.20177924407932013
1684.0,0.20682783354107648
1685.0,0.20820130667613634
1686.0,0.2071266399431818
1687.0,0.20546598358974358
1688.0,0.207697168974359
1689.0,0.20362801441595443
1690.0,0.2031441241714286
1691.0,0.20842962165714288
1692.0,0.20802010174785102
1693.0,0.20454894681948424
1694.0,0.20699011451149424
1695.0,0.2065735618678161
1696.0,0.20480935574712644
1697.0,0.20151021985590775
1698.0,0.20554231971181558
1699.0,0.2061492618443804
1700.0,0.20195494320809249
1701.0,0.1990320349275362
1702.0,0.20146766423188406
1703.0,0.20399608484057974
1704.0,0.20264073075362318
1705.0,0.20236108976744188
1706.0,0.20235154807580177
1707.0,0.19915650711370264
1708.0,0.20096073868804665
1709.0,0.20117730440233236
1710.0,0.20034363830409355
1711.0,0.1811379074780059
1712.0,0.19689604997067445
1713.0,0.20033271956011733
1714.0,0.19829702378299122
1715.0,0.19989748550000003
1716.0,0.1984816061061947
1717.0,0.19550260194690264
1718.0,0.1984347101179941
1719.0,0.1978320520648968
1720.0,0.19693978494082842
1721.0,0.19200132038575668
1722.0,0.1959753705934718
1723.0,0.18934883225519292
1724.0,0.19088752572700296
1725.0,0.1946652149404762
1726.0,0.19328137916666668
1727.0,0.19340467988059698
1728.0,0.18791731113432836
1729.0,0.190508738502994
1730.0,0.1899308827245509
1731.0,0.18610591002994012
1732.0,0.18751718195195194
1733.0,0.17323509003003004
1734.0,0.17946201147147148
1735.0,0.18225065280120484
1736.0,0.17842484147590362
1737.0,0.17664888271903323
1738.0,0.18092534362537765
1739.0,0.1828551428700906
1740.0,0.18347056163636366
1741.0,0.17654609366666665
1742.0,0.1848676198787879
1743.0,0.18453637303951367
1744.0,0.18519928696048632
1745.0,0.1826062137195122
1746.0,0.18189391576219513
1747.0,0.17953124393292683
1748.0,0.18259007828746177
1749.0,0.18441473966360855
1750.0,0.1848987890825688
1751.0,0.18171676874233128
1752.0,0.18249884674846625
1753.0,0.1807088190153846
1754.0,0.18147471233846155
1755.0,0.1809490496
1756.0,0.18089151021604938
1757.0,0.18315706805555557
1758.0,0.18175301283950618
1759.0,0.17962036724458205
1760.0,0.18152002018575852
1761.0,0.17739884114906831
1762.0,0.17375521217391304
1763.0,0.17812817136645961
1764.0,0.1754748392211838
1765.0,0.1799658411214953
1766.0,0.18055055844236761
1767.0,0.17997103781249998
1768.0,0.17868043037499998
1769.0,0.17655308796875
1770.0,0.17758422253918496
1771.0,0.17511990996865204
1772.0,0.1764516479245283
1773.0,0.17052681650943396
1774.0,0.17518714566037735
1775.0,0.17466909570977918
1776.0,0.17537642690851735
1777.0,0.1710639368769716
1778.0,0.17232632636075948
1779.0,0.17468685079113924
1780.0,0.17344353370253165
1781.0,0.17504348634920638
1782.0,0.17070609717460317
1783.0,0.1686804244126984
1784.0,0.16923161888535032
1785.0,0.16897690799363058
1786.0,0.17346030575079874
1787.0,0.17245808252396166
1788.0,0.17222967057507987
1789.0,0.1700686415654952
1790.0,0.17164900189102564
1791.0,0.17050910657051283
1792.0,0.16992285909967847
1793.0,0.16841690774919615
1794.0,0.16264858061093249
1795.0,0.16840985548387097
1796.0,0.16655520322580644
1797.0,0.1680272936451613
1798.0,0.16630673634304208
1799.0,0.16349867051779934
1800.0,0.16638421579288026
1801.0,0.16560325444805196
1802.0,0.1634881532142857
1803.0,0.16159736724025975
1804.0,0.16475836390879478
1805.0,0.16465959798045604
1806.0,0.15923017607843135
1807.0,0.1635698636156352
1808.0,0.16330015552287583
1809.0,0.1630762507213115
1810.0,0.15809619472131148
1811.0,0.16134542737704918
1812.0,0.15836384865573772
1813.0,0.15952301440789474
1814.0,0.15906184967105264
1815.0,0.15611723453947365
1816.0,0.15507639264026404
1817.0,0.1533440905940594
1818.0,0.14932686483443708
1819.0,0.15282081447019866
1820.0,0.15415220831125828
1821.0,0.15796256165562914
1822.0,0.15848542093023255
1823.0,0.1522106149833887
1824.0,0.15866744279069767
1825.0,0.1587994483
1826.0,0.15959012013333335
1827.0,0.15881534551839466
1828.0,0.1572662591
1829.0,0.1537722647826087
1830.0,0.1585279509395973
1831.0,0.15815808063758388
1832.0,0.1577689888255034
1833.0,0.15418423677852347
1834.0,0.15781350003367
1835.0,0.1578257631986532
1836.0,0.15665301276094276
1837.0,0.14945428260135135
1838.0,0.14844232804054056
1839.0,0.15571266300675674
1840.0,0.14984720169491528
1841.0,0.15278643457627117
1842.0,0.14925903308474578
1843.0,0.14761496213559322
1844.0,0.15306053581632653
1845.0,0.1482338489078498
1846.0,0.15333698384353742
1847.0,0.13949634918088738
1848.0,0.14881842177474405
1849.0,0.15163580260273973
1850.0,0.14939244518771333
1851.0,0.14985158491408934
1852.0,0.152487475
1853.0,0.15038938223367695
1854.0,0.1525019082130584
1855.0,0.1488574966323024
1856.0,0.14737609958620693
1857.0,0.15151301327586209
1858.0,0.14891469665517243
1859.0,0.1461835884083045
1860.0,0.1484876192733564
1861.0,0.14962524719723183
1862.0,0.14796804472222222
1863.0,0.1492164317013889
1864.0,0.14735740586805557
1865.0,0.14834158798611108
1866.0,0.1443670794425087
1867.0,0.14761960226480836
1868.0,0.147418130034965
1869.0,0.14592230888501742
1870.0,0.14553977688811187
1871.0,0.14465959007017545
1872.0,0.14303733776223776
1873.0,0.13613550610526315
1874.0,0.1363441351056338
1875.0,0.12457933705263159
1876.0,0.1115004566197183
1877.0,0.13520681
1878.0,0.13609437314487632
1879.0,0.13934866700704227
1880.0,0.14212398303886925
1881.0,0.1422353395035461
1882.0,0.14186231724381623
1883.0,0.1400595581205674
1884.0,0.14249977234875444
1885.0,0.13873652283687943
1886.0,0.13724682551601422
1887.0,0.1410145584697509
1888.0,0.13986083957142859
1889.0,0.13898739696428572
1890.0,0.13980284964285714
1891.0,0.13877462142857142
1892.0,0.13603024279569892
1893.0,0.1360480104659498
1894.0,0.1397689563799283
1895.0,0.1360045676702509
1896.0,0.13181333651079138
1897.0,0.13885524151079134
1898.0,0.13794472036101083
1899.0,0.1358989945323741
1900.0,0.13816994397111912
1901.0,0.13690453416666667
1902.0,0.13759819631768955
1903.0,0.13703879989130435
1904.0,0.13370854949275363
1905.0,0.13580992476363632
1906.0,0.13665899007246377
1907.0,0.13512904843636364
1908.0,0.13531050540145986
1909.0,0.1354651310909091
1910.0,0.13513507817518247
1911.0,0.13356823178832114
1912.0,0.13226502446886446
1913.0,0.1342623235897436
1914.0,0.13444495128205125
1915.0,0.13430747560439563
1916.0,0.13300104893382353
1917.0,0.1333981132967033
1918.0,0.1326087636900369
1919.0,0.13308664761029412
1920.0,0.12500568527675276
1921.0,0.13157098298892989
1922.0,0.13085383549815496
1923.0,0.131740375037037
1924.0,0.13179133697416975
1925.0,0.13167368903345725
1926.0,0.1302766493703704
1927.0,0.12996607758364312
1928.0,0.13085472040892193
1929.0,0.1271919826394052
1930.0,0.13012393962686566
1931.0,0.1245226229739777
1932.0,0.1288322312313433
1933.0,0.12914898913857678
1934.0,0.1287923245522388
1935.0,0.12697047531835207
1936.0,0.1281506957518797
1937.0,0.12751319955056178
1938.0,0.1268939194736842
1939.0,0.12283142548872181
1940.0,0.12434240545112782
1941.0,0.1244144345283019
1942.0,0.12346376124528302
1943.0,0.12027998233962264
1944.0,0.11334996350943395
1945.0,0.11185831215909091
1946.0,0.11182257200757577
1947.0,0.12035360787878788
1948.0,0.12141272231060606
1949.0,0.12139805361216731
1950.0,0.11926833148288973
1951.0,0.11293099505703423
1952.0,0.12360558549618321
1953.0,0.12410701625954199
1954.0,0.12301791595419846
1955.0,0.12315726660305344
1956.0,0.1238766403065134
1957.0,0.12318544348659004
1958.0,0.1226641946743295
1959.0,0.12234074455938697
1960.0,0.1211403716923077
1961.0,0.12293525234615385
1962.0,0.12018150723076924
1963.0,0.1215122528957529
1964.0,0.11982406076923077
1965.0,0.12194549335907336
1966.0,0.12185997127906976
1967.0,0.12164321637065637
1968.0,0.12123285178294574
1969.0,0.12069960096899225
1970.0,0.12071234220930233
1971.0,0.12051658747081712
1972.0,0.11941266634241245
1973.0,0.1107881179766537
1974.0,0.1168558107003891
1975.0,0.11929084074218751
1976.0,0.1193069023828125
1977.0,0.118983113671875
1978.0,0.110606587734375
1979.0,0.11799195819607844
1980.0,0.11581937176470587
1981.0,0.11802892286274509
1982.0,0.11554772295275591
1983.0,0.11756712121568627
1984.0,0.11744636688976377
1985.0,0.11529806909448818
1986.0,0.11300016865612647
1987.0,0.11239066517786563
1988.0,0.11652325185770751
1989.0,0.11602720573122528
1990.0,0.11587161252964426
1991.0,0.11567428964285714
1992.0,0.11378425436507936
1993.0,0.11108795793650794
1994.0,0.11130192103585658
1995.0,0.11385335772908367
1996.0,0.1141994313944223
1997.0,0.1122455952191235
1998.0,0.11164066505976096
1999.0,0.11386534515999999
2000.0,0.1135507352
2001.0,0.1118798246
2002.0,0.11302978457831325
2003.0,0.11052180947791164
2004.0,0.11251899506024096
2005.0,0.11180993261044177
2006.0,0.11029977285140562
2007.0,0.11170892475806452
2008.0,0.11129945733870969
2009.0,0.1115108766532258
2010.0,0.11016408684210525
2011.0,0.1108370931451613
2012.0,0.11087879522267206
2013.0,0.1104214119512195
2014.0,0.11046425991902835
2015.0,0.10987101069105691
2016.0,0.10976075821138212
2017.0,0.10953365609756097
2018.0,0.10938302325203252
2019.0,0.1093102929387755
2020.0,0.1090011470612245
2021.0,0.10889394559183675
2022.0,0.10852119409836067
2023.0,0.10826503542857144
2024.0,0.10812292106557377
2025.0,0.10788006286885246
2026.0,0.10778561358024691
2027.0,0.10728747827868852
2028.0,0.10737976909465022
2029.0,0.10551665427983539
2030.0,0.10497416033057852
2031.0,0.10546492477366255
2032.0,0.1065340847107438
2033.0,0.10618206847107438
2034.0,0.10629545417355372
2035.0,0.1046010437759336
2036.0,0.10567926867219918
2037.0,0.1051344719087137
2038.0,0.10353971580912863
2039.0,0.10423991460580913
2040.0,0.10518942475
2041.0,0.10458439391666667
2042.0,0.10466978483333333
2043.0,0.10465143195833333
2044.0,0.10437582271966528
2045.0,0.10370129912133891
2046.0,0.10403028414225943
2047.0,0.10363634192468618
2048.0,0.1034107769327731
2049.0,0.10327191168067228
2050.0,0.10246407336134454
2051.0,0.10322522647058824
2052.0,0.10280524704641349
2053.0,0.10286795428571428
2054.0,0.10255787160337552
2055.0,0.1024540081779661
2056.0,0.1022599388607595
2057.0,0.10194478733050848
2058.0,0.1019210180084746
2059.0,0.10089696402542372
2060.0,0.10126523622881357
2061.0,0.09871860161702127
2062.0,0.10109459639830509
2063.0,0.10049578666666667
2064.0,0.09837737710638297
2065.0,0.10058300987234041
2066.0,0.10066358726495728
2067.0,0.1004227629059829
2068.0,0.09963386508547008
2069.0,0.10006048982832619
2070.0,0.09704972568376068
2071.0,0.09921080738197424
2072.0,0.09832304313304721
2073.0,0.0987812086695279
2074.0,0.09770162827586208
2075.0,0.09909953965517242
2076.0,0.09890499155172414
2077.0,0.09859868323275861
2078.0,0.09863764728448275
2079.0,0.09851429406926408
2080.0,0.09808336034632034
2081.0,0.09516943528138529
2082.0,0.0977625167965368
2083.0,0.09767808860869565
2084.0,0.0975910847186147
2085.0,0.09559261926086958
2086.0,0.09700395628820961
2087.0,0.09705674017391304
2088.0,0.096958013930131
2089.0,0.09683139130434783
2090.0,0.096174775720524
2091.0,0.09630172859649122
2092.0,0.09242855358078604
2093.0,0.09569200850877192
2094.0,0.09598710407894738
2095.0,0.09573209684210526
2096.0,0.09553729907894737
2097.0,0.09529285625550661
2098.0,0.0952304037444934
2099.0,0.09535402933920704
2100.0,0.0950956401321586
2101.0,0.09504906358407081
2102.0,0.09472205189427313
2103.0,0.09399252730088496
2104.0,0.09442368907079646
2105.0,0.09372002777777778
2106.0,0.09216471181415929
2107.0,0.08744872657777777
2108.0,0.09374071395555555
2109.0,0.09342289191111111
2110.0,0.09093563057777777
2111.0,0.09323243316964284
