Wavelength(nm),I[w/(m^2*lambda)]
273.0,0.21847654749999998
274.0,0.150389621
275.0,0.13226819750000002
276.0,0.20656784099999997
277.0,0.257160789
278.0,0.20060362449999997
279.0,0.12437790000000001
280.0,0.06214657600000001
281.0,0.127222961
282.0,0.2534758235
283.0,0.3102380615
284.0,0.30413964499999996
285.0,0.155011478
286.0,0.22463358000000003
287.0,0.357539917
288.0,0.2805978975
289.0,0.3678862115
290.0,0.5307067219999999
291.0,0.5808646824999999
292.0,0.527174593
293.0,0.4967254475
294.0,0.4929709239999999
295.0,0.490567101
296.0,0.5553636005
297.0,0.421456186
298.0,0.5154240705
299.0,0.4593621850000001
300.0,0.33594546399999997
301.0,0.46851633709999996
302.0,0.41377090289999996
303.0,0.5987503623000001
304.0,0.5725018101
305.0,0.6466011868999999
306.0,0.5302956004999999
307.0,0.5847250894
308.0,0.5915150749
309.0,0.5719352162999999
310.0,0.4899094098
311.0,0.7679489466
312.0,0.6413232348000001
313.0,0.6604229853
314.0,0.6983242931999998
315.0,0.6556799097000001
316.0,0.5316582047999999
317.0,0.7375672742999998
318.0,0.6563602426999999
319.0,0.6648949899000001
320.0,0.7667181557
321.0,0.737980586
322.0,0.7339899366
323.0,0.6418470426999998
324.0,0.7073647563000002
325.0,0.7848241235000001
326.0,0.9911601318999997
327.0,0.9445212891999999
328.0,0.919486212929293
329.0,0.9459602625
330.0,1.0635204959
331.0,0.9188597693
332.0,0.8930072602
333.0,0.9465454221
334.0,0.8571607456000002
335.0,0.9475421251
336.0,0.7999520813
337.0,0.7838614226999999
338.0,0.8836159682
339.0,0.9249722610000001
340.0,1.0431752608999998
341.0,0.9138719877
342.0,0.9216085554
343.0,0.9795804262
344.0,0.8033242741
345.0,0.8404257605000001
346.0,0.8885662603000002
347.0,0.9392413741
348.0,0.8235744604000002
349.0,0.8627211706000001
350.0,1.0147500269
351.0,0.9517338996000001
352.0,0.9402924613999999
353.0,0.8893598297000002
354.0,1.1243726945
355.0,1.1134453191
356.0,1.0730144965000001
357.0,0.7437949427999999
358.0,0.7866838126000002
359.0,0.7806870221000001
360.0,1.1198966426999997
361.0,0.8587152465999999
362.0,0.9021235099
363.0,1.0400854501999999
364.0,1.0599709241
365.0,0.9751567188999999
366.0,1.2611107680000002
367.0,1.1858692116161615
368.0,1.1135638432000001
369.0,1.1319972723
370.0,1.2730679814000003
371.0,1.0589489785000001
372.0,1.0764127762
373.0,1.1519960708
374.0,0.9130478582000001
375.0,0.8555555284999999
376.0,1.1634119461
377.0,1.1663900954
378.0,1.4266116569000002
379.0,1.2284581767999998
380.0,1.1540119597081326
381.0,1.2626307026854406
382.0,0.9808019469662922
383.0,0.7050315771057649
384.0,0.7878824213860218
385.0,1.171979389344797
386.0,0.9661331634237187
387.0,1.0193460748674554
388.0,1.091808345817525
389.0,1.1156181065153579
390.0,1.327408867811407
391.0,1.3474381672985782
392.0,1.2671854413723682
393.0,0.7366353558409267
394.0,0.7854424089816827
395.0,1.2948910828241535
396.0,1.272172820774659
397.0,0.5980727826603625
398.0,1.4235580854569934
399.0,1.6612811246648622
400.0,1.750063215112
401.0,1.6915808137497992
402.0,1.7853753252876536
403.0,1.6919404069774242
404.0,1.8328007362379632
405.0,1.5896042002821058
406.0,1.5952308955275307
407.0,1.6491813244442601
408.0,1.6819451420023304
409.0,1.8872227932301773
410.0,1.5832326230884333
411.0,1.863853623027027
412.0,1.9385474452868294
413.0,1.8439403770249063
414.0,1.8799441503787486
415.0,1.8970928927523252
416.0,1.8364780471275308
417.0,1.8050207482626086
418.0,1.7698421296907754
419.0,1.7898687433058287
420.0,1.684075423954842
421.0,1.8872056592077282
422.0,1.8256995829474623
423.0,1.5947389844784396
424.0,1.7238023127220425
425.0,1.772515507588947
426.0,1.667326425598911
427.0,1.655375825998177
428.0,1.7031765117146
429.0,1.5826403378446532
430.0,1.3090259173137364
431.0,1.2039740387906372
432.0,1.9187578724356102
433.0,1.7467940009805025
434.0,1.5866160332341306
435.0,1.8000257183424786
436.0,1.8981975518593157
437.0,1.9166895138819937
438.0,1.702708862768611
439.0,1.7363131160666794
440.0,1.8737692253494675
441.0,1.8586237852761571
442.0,1.9637114324125804
443.0,2.0179186710302197
444.0,1.9638728064846214
445.0,2.0818735535524753
446.0,1.8171960217704397
